127.0.0.1 - - [22/Mar/2017:22:13:46 +0200] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:13:46 +0200] "GET /Test2/index.html HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:13:46 +0200] "GET /Test2/js/app-ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:13:46 +0200] "GET /Test2/js/gauge.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:14:03 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:14:18 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:14:32 +0200] "GET /Test2/index.html HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:14:33 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:14:47 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:14:58 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:15:08 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:15:25 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:15:37 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:15:48 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:16:02 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:16:13 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:16:27 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [22/Mar/2017:22:16:38 +0200] "GET /Test2/CompletnessController?userName= HTTP/1.1" 500 1534
