127.0.0.1 - - [03/Apr/2017:15:57:49 +0300] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:50 +0300] "GET /Test2/ HTTP/1.1" 200 11547
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:50 +0300] "GET /css/d3.geomap.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:50 +0300] "GET /Test2/js/app-ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:50 +0300] "GET /Test2/js/d3.geomap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:50 +0300] "GET /Test2/js/gradientPie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:50 +0300] "GET /Test2/js/world.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:52 +0300] "GET /favicon.ico HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:57:58 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:02 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:07 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:10 +0300] "GET /Test2/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:10 +0300] "GET /css/d3.geomap.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:17 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:17 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:17 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:22 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:22 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:22 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:27 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:27 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:27 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:32 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:32 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:32 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:37 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:37 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:37 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:42 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:42 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:42 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:47 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:47 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:47 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:52 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:52 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:52 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:57 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:15:58:57 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
